name,game,race,gender
Coredalf,Arena and Daggerfall,Altmer,male
Corelas,Arena and Daggerfall,Altmer,male
Corelian,Arena and Daggerfall,Altmer,male
Corellon,Arena and Daggerfall,Altmer,male
Coreman,Arena and Daggerfall,Altmer,male
Coremon,Arena and Daggerfall,Altmer,male
Corenar,Arena and Daggerfall,Altmer,male
Corera,Arena and Daggerfall,Altmer,male
Coreriil,Arena and Daggerfall,Altmer,male
Coreril,Arena and Daggerfall,Altmer,male
Coreron,Arena and Daggerfall,Altmer,male
Coretar,Arena and Daggerfall,Altmer,male
Corridalf,Arena and Daggerfall,Altmer,male
Corrilas,Arena and Daggerfall,Altmer,male
Corrilian,Arena and Daggerfall,Altmer,male
Corrillon,Arena and Daggerfall,Altmer,male
Corriman,Arena and Daggerfall,Altmer,male
Corrimon,Arena and Daggerfall,Altmer,male
Corrinar,Arena and Daggerfall,Altmer,male
Corrira,Arena and Daggerfall,Altmer,male
Corririil,Arena and Daggerfall,Altmer,male
Corriril,Arena and Daggerfall,Altmer,male
Corriron,Arena and Daggerfall,Altmer,male
Corritar,Arena and Daggerfall,Altmer,male
Cyredalf,Arena and Daggerfall,Altmer,male
Cyrelas,Arena and Daggerfall,Altmer,male
Cyrelian,Arena and Daggerfall,Altmer,male
Cyrellon,Arena and Daggerfall,Altmer,male
Cyreman,Arena and Daggerfall,Altmer,male
Cyremon,Arena and Daggerfall,Altmer,male
Cyrenar,Arena and Daggerfall,Altmer,male
Cyrera,Arena and Daggerfall,Altmer,male
Cyreriil,Arena and Daggerfall,Altmer,male
Cyreril,Arena and Daggerfall,Altmer,male
Cyreron,Arena and Daggerfall,Altmer,male
Cyretar,Arena and Daggerfall,Altmer,male
Gandalf,Arena and Daggerfall,Altmer,male
Ganlas,Arena and Daggerfall,Altmer,male
Ganlian,Arena and Daggerfall,Altmer,male
Ganllon,Arena and Daggerfall,Altmer,male
Ganman,Arena and Daggerfall,Altmer,male
Ganmon,Arena and Daggerfall,Altmer,male
Gannar,Arena and Daggerfall,Altmer,male
Ganra,Arena and Daggerfall,Altmer,male
Ganriil,Arena and Daggerfall,Altmer,male
Ganril,Arena and Daggerfall,Altmer,male
Ganron,Arena and Daggerfall,Altmer,male
Gantar,Arena and Daggerfall,Altmer,male
Kaladalf,Arena and Daggerfall,Altmer,male
